Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,CHGNet_Energy,CHGNet_Net_Magmom,CHGNet_Abs_Magmom
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087,1.625,0.1499999999999999,6.5,-2.6703698287931,0.091892590250006,1.88519999999999,5.0000003,mp-1516715,-0.8253334,4.6475587,4.6475587
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.0570135106175924,1.65,0.0999999999999998,5.5,-2.81802165,0.158354321222232,0.763099999999999,2.99999989999999,mp-1519910,-0.8488356,2.5361567,2.5361567
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485816,0.0329199548885835,1.465,0.27,4.5,-3.313915328,0.113674588374994,0.0,0.0002061,mp-1519061,-0.85510266,0.19066449,0.19066449
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.0898912866672603,1.515,0.3699999999999999,5.0,-2.979708477,0.194257001583331,0.0,1.9999999,mp-1519763,-0.85421574,1.670713,1.670713
2,6,6,0.89,1.66,1.7,1.4742857142857142,0.521,0.562,1.0468333344830414,0.0211176924949175,1.68,0.04,6.0,-2.23342298566666,0.170293997583339,0.1824,2.99999989999999,mp-1519687,-0.7937458,3.5183733,3.5183733
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.4130699325,0.052069121000002,0.0,6.8874179,mp-1519016,-0.95946157,6.9837103,6.9837103
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.0124999999941404,1.315,0.03,4.0,-3.6694066805,0.04404608825,0.426599999999999,7.0000002,mp-1517277,-0.9708201,6.8751984,6.8751984
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485816,0.0329199548885835,1.465,0.27,4.5,-3.3493691235,0.06010360025,0.0,6.6693043,mp-1523280,-0.93922424,6.9944234,6.9944234
2,6,8,0.89,1.66,1.83,1.4742857142857142,0.521,0.6216666666666666,1.0309909970798246,0.0510652688276638,1.745,0.1700000000000001,7.0,-5.153567591,0.0,0.0,9.6463861,mp-1518724,-0.84758914,13.217909,13.217909
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.06633499966666,0.096817413222229,0.622799999999999,0.0,mp-1516647,-0.8484355,0.13982949,0.13982949
2,4,4,0.89,1.3,1.54,1.4742857142857142,0.72,0.6341666666666667,0.978500422361714,0.041323971895852,1.42,0.24,4.0,-3.104368333,0.190470733819445,0.0,8e-07,mp-1522487,-0.8360032,0.12232253,0.12232253
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.08932370766666,0.1948221645,0.0,4.9754546,mp-1522067,-0.7699906,4.58583,4.58583
2,9,9,0.89,2.2,1.88,1.4742857142857142,0.625,0.6255555555555555,1.0035299558559871,0.0002743107939943,2.04,0.3200000000000003,9.0,-2.2561880905,0.077274600458354,0.0,4.9919466,mp-1228112,-0.7535806,3.2760093,3.2760093
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.0302486541757249,1.91,0.5000000000000002,6.0,-2.7249114925,0.136250090285706,0.0,4.995957,mp-1229299,-0.8458093,4.700927,4.700927
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.0030257186066435,1.855,0.6100000000000001,6.5,-2.6442282702931,0.193645975828825,0.382399999999999,6.0003792,mp-40356,-0.837468,5.2977467,5.2977467
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.4999615022931,0.190924160466654,0.0,2.0,mp-1227855,-0.8004295,6.2192116,6.2192116
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.5672965662931,0.123589096466654,0.320999999999999,1.99999669999999,mp-1272796,-0.8048032,6.512626,6.512626
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.0332736114495655,1.875,0.6500000000000001,7.5,-2.5412320577931,0.149653604966655,0.0,15.8583723,mp-690567,-0.40238962,13.0030575,13.0030575
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,1.63,0.0599999999999998,5.5,-3.0665843775,0.127025262016658,0.0,1.999924,mp-1227851,-0.8729637,2.9976158,2.9976158
2,8,10,0.89,2.2,1.91,1.4742857142857142,0.521,0.5714285714285715,1.0442976057771003,0.0259111094666292,2.055,0.2900000000000002,9.0,-2.37273658949999,0.039392856166665,0.0,5.0061727,mp-622618,-0.74969345,3.8144102,3.8144102
2,7,5,0.89,1.55,1.5,1.4742857142857142,0.586,0.6940000000000001,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.18655668902643,0.123896606166656,1.0025,5.00002,mp-41283,-0.8955742,4.5568285,4.5568285
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.0572247271212045,1.6,0.1199999999999998,5.0,-3.29082848533333,0.053622175750016,2.2522,1e-07,mp-1227861,-0.21699277,11.868908,11.868908
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.0572247271212045,1.6,0.1199999999999998,5.0,-3.29738807508333,0.047062586000015,1.22499999999999,11.9988121,mp-39208,-0.21715245,11.624139,11.624139
