Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,3D_Volume_Per_Atom,3D_Density,3D_Crystal_Symmetry
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.0227461858416246,2.02,0.2800000000000002,7.5,-2.463285518,0.0,0.0,0.0109821,mp-18967,13.838303402206416,6.306065388027646,225.0
2,9,6,0.89,1.88,2.16,1.4742857142857142,0.6255555555555555,0.58,1.0148040094476147,0.0227461858416246,2.02,0.2800000000000002,7.5,-2.454069767,0.009215750999985,1.274,2.1e-06,mp-561894,13.85835859641154,6.296939533392895,139.0
2,7,9,0.89,1.9,1.88,1.4742857142857142,0.534,0.6255555555555555,1.0265934599965334,0.0462453698273539,1.89,0.02,8.0,-2.4478527995,0.04870363225,0.198199999999999,1.92e-05,mp-545792,13.752905474639046,7.435115024651398,166.0
2,9,8,0.89,1.88,2.2,1.4742857142857142,0.6255555555555555,0.521,1.0299750708182498,0.0529857259226402,2.04,0.3200000000000003,8.5,-2.09980503266666,0.019201509583339,0.0,15.6349386,mp-1228653,13.805935990639606,6.382551875930632,156.0
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.0318769504967179,1.79,0.1799999999999999,7.5,-2.565399248,0.010751375500013,1.84269999999999,3.0001636,mp-1274542,13.977699291376698,7.287421370720683,139.0
2,9,6,0.89,1.88,1.7,1.4742857142857142,0.6255555555555555,0.562,1.0193848790829303,0.0318769504967179,1.79,0.1799999999999999,7.5,-2.5761506235,0.0,0.0,6.000052,mp-22112,13.962722202352197,7.295238210234252,166.0
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.0302486541757249,1.91,0.5000000000000002,6.0,-2.66020709599999,0.0,0.0,3e-07,mp-1079901,13.512386348870512,6.372916830759969,139.0
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.500273185,0.000837423000007,0.864099999999999,3.2e-06,mp-1277787,13.765747185583916,6.302050887549036,12.0
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.50098259249999,0.000128015500007,0.7715,2.00003,mp-1288525,13.74125936108155,6.31328155513809,5.0
2,8,6,0.89,1.83,2.16,1.4742857142857142,0.6216666666666666,0.58,1.0157902135380803,0.0208246563827614,1.995,0.33,7.0,-2.501110608,0.0,0.9037,2.00003,mp-1288978,13.778824395900463,6.296069735419209,5.0
