Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,5,9,0.89,1.6,2.28,1.4742857142857142,0.677142857142857,0.605,0.9957647196881575,0.0353455817849575,-2.733223787,Fm-3m
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.04946591782605353,-3.119411723,C2/m
2,5,5,0.89,1.6,1.63,1.4742857142857142,0.677142857142857,0.576875,1.0026728991087577,0.04946591782605353,-3.094641198,P-1
2,10,6,0.89,1.91,2.16,1.4742857142857142,0.5714285714285715,0.58,1.0287048758048811,0.004338394791730325,-2.44925213,Fm-3m
2,10,8,0.89,1.91,2.2,1.4742857142857142,0.5714285714285715,0.521,1.0442976057771003,0.025911109466629296,-2.068848193,P6_3/mmc
2,10,6,0.89,1.91,1.7,1.4742857142857142,0.5714285714285715,0.562,1.0334123943021867,0.0047940727803038015,-2.56365896249999,Fm-3m
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,-2.498643676,F-43m
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,-3.38067126699999,F-43m
2,4,6,0.89,1.3,1.7,1.4742857142857142,0.72,0.562,0.9957995683169579,0.07741303278911667,-3.056130819,F-43m
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,-3.635092758,F-43m
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,-2.6703698287931,F-43m
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.05701351061759244,-2.81802165,F-43m
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,-3.313915328,F-43m
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.08989128666726039,-2.979708477,F-43m
2,6,6,0.89,1.66,1.7,1.4742857142857142,0.521,0.562,1.0468333344830414,0.021117692494917566,-2.23342298566666,F-43m
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,-3.4130699325,F-43m
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,-3.6694066805,F-43m
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,-3.3493691235,F-43m
2,6,8,0.89,1.66,1.83,1.4742857142857142,0.521,0.6216666666666666,1.0309909970798246,0.05106526882766389,-5.153567591,F-43m
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891487,0.020422055810554635,-3.06633499966666,F-43m
2,4,4,0.89,1.3,1.54,1.4742857142857142,0.72,0.6341666666666667,0.978500422361714,0.041323971895852095,-3.104368333,F-43m
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.029955652231634617,-2.08932370766666,F-43m
2,9,9,0.89,2.2,1.88,1.4742857142857142,0.625,0.6255555555555555,1.0035299558559871,0.00027431079399434835,-2.2561880905,P1
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.03024865417572495,-2.7249114925,F-43m
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.003025718606643502,-2.6442282702931,F-43m
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,-2.4999615022931,F-43m
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,-2.5672965662931,Cm
